Parcel,Street Num,Street,Zip,Width,Depth,Acres,Type,Zone,Price
5902100000000,0,DUNN,38114,110,640,2.05,VCNT LAND,MU,"$5,000.00"
5903200000000,0,PENDLETON,38114,43,78,0.038,VCNT LAND,MU,$300.00
0600680000016C,1390,VALSE,38106,50,100,0.115,VCNT LAND,RU-,"$1,000.00"
6010300000000,1954,BOYLE,38114,54,127,0.163,VCNT LAND,R-6,$500.00
6019400000000,3056,QUEENSGATE,38118,70,150,0.242,VCNT LAND,R-8,"$1,000.00"
6101100000000,0,TUNSTALL,38114,12,94,0.024,VCNT LAND,RU-,$100.00
6101200000000,0,MARECHALNEIL,38114,25,100,0.054,VCNT LAND,RU-,$300.00
6102900000000,2675,PARK,38114,40,120,0.109,VCNT LAND,RU-,"$1,200.00"
6103100000000,2690,SUPREME,38114,40,125,0.115,VCNT LAND,R-6,$500.00
0620090000024C,3547,KENDRICK,38108,50,150,0.237,VCNT LAND,R-6,$500.00
6902800000000,3122,NORTHGATE,38127,61,173,0.242,VCNT LAND,R-6,"$1,000.00"
6904000000000,961,FLOYD,38127,100,140,0.344,VCNT LAND,R-6,$800.00
6904300000000,863,RESTBROOK,38127,70,200,0.32,VCNT LOT,R-6,"$1,000.00"
6904800000000,872,CARROLTON,38127,80,200,0.364,VCNT LAND,R-6,"$1,000.00"
6906500000000,0,CORNELL,38127,90,707,1.353,VCNT LAND,IH,"$4,000.00"
7008600000000,2699,BEECHMONT,38127,50,180,0.2,VCNT LOT,R-6,"$1,200.00"
7009400000000,0,OVERTON CROSS,38127,80,204,0.287,VCNT LAND,R-6,"$1,000.00"
7009400000000,0,OVERTON CROSS,38127,58,194,0.258,VCNT LAND,R-6,$900.00
7101600000000,1787,DABBS,38127,83,106,0.195,VCNT LAND,R-6,$500.00
7105200000000,2564,SUNNY HILL,38127,55,105,0.132,VCNT LAND,R-6,"$1,000.00"
7105200000000,2366,HAWKINS MILL,38127,60,195,0.327,VCNT LAND,R-6,$500.00
7105500000000,4444,SMITH RIDGE,38127,110,110,0.276,VCNT LAND,R-6,$500.00
7106200000000,2645,MIRROR,38127,50,108,0.115,VCNT LAND,R-6,$500.00
7106300000000,4420,RANGE LINE RD,38127,50,115,0.151,VCNT LOT,R-6,$400.00
7200400000000,3530,MARK TWAIN,38127,60,115,0.138,VCNT LAND,R-6,$500.00
7202500000000,3117,OVERTON CROSS,38127,128,99,0.287,VCNT LAND,R-6,$500.00
7204800000000,2053,PORTLAND,38127,60,140,0.235,VCNT LAND,R-6,$500.00
7207800000000,3465,SUZANNE,38127,80,158,0.237,VCNT LAND,R-10,$800.00
7501000000000,268,BROOKS W.,38109,55,150,0.186,VCNT LAND,R-6,$600.00
7505800000000,0,OLD HORN LAKE,38109,10,314,0.06,VCNT LAND,R-6,$50.00
7508700000000,833,MT. PISGAH,38109,100,162,0.3,VCNT LAND,R-6,"$1,000.00"
7510800000000,436,RAINES W.,38109,328,489,4.373,VCNT LAND,R-6,"$10,000.00"
7517000000000,0,WEAVER,38109,70,187,0.335,VCNT LAND,MU,"$2,000.00"
7523100000000,327,HEWLETT,38109,50,170,0.244,VCNT LAND,R-6,"$1,000.00"
7523700000000,4889,8TH,38109,85,100,0.182,VCNT LAND,R-6,"$1,000.00"
